"","actor","location","start_date","end_date","ended","est_fat","org"
"399","Hezbollah","Lebanon","1989-10-24","",0,26,1
"400","Hezbollah","Lebanon","1989-10-24","",0,48,1
"401","Hezbollah","Lebanon","1989-10-24","1995-12-24",1,36,1
"402","Hezbollah","Lebanon","1989-10-24","",0,31,1
"404","Hezbollah","Lebanon","1989-10-24","2000-05-12",1,27,1
"405","Forces of Michel Aoun","Lebanon","1989-02-15","",0,66,1
"406","Forces of Michel Aoun","Lebanon","1989-02-15","1990-06-19",1,786,1
"407","INPFL","Liberia","1990-01-31","1990-10-14",1,45,1
"408","LPC","Liberia","1993-10-11","",0,192,1
"409","LPC","Liberia, Ivory Coast","1993-10-11","1995-08-09",1,50,1
"410","NPFL","Liberia, Sierra Leone","1991-09-04","",0,313,1
"411","NPFL","Liberia","1991-09-04","1992-12-08",1,55,1
"412","NPFL, ULIMO - K","Liberia","1996-04-09","1996-05-24",1,2000,1
"413","ULIMO - J","Liberia, Sierra Leone","1992-05-31","1994-06-24",1,303,1
"414","ARLA, FIAA, FPLA","Mali","1994-06-12","1994-06-12",1,30,1
"415","Fulani","Mali, Niger","1997-03-31","1997-07-05",1,34,3
"416","Fulani","Mali","1997-03-31","2014-02-06",1,30,3
"417","Garcia clan","Mexico","1993-02-06","1993-02-09",1,27,3
"418","Naparama","Mozambique","1991-05-20","1991-12-05",1,63,1
"419","MDA","Myanmar","2000-12-10","2000-12-10",1,70,1
"420","MTA","Myanmar","1990-02-14","",0,234,1
"421","MTA","Myanmar , Thailand","1990-02-14","1991-12-21",1,357,1
"422","MTA","Myanmar","1990-02-14","1995-12-31",1,1042,1
"423","Adoni","Nigeria","1993-07-09","1993-09-20",1,1085,3
"424","Azara","Nigeria","2001-06-25","2001-06-25",1,200,3
"425","Efik","Nigeria","1992-02-18","2000-05-21",1,90,3
"426","Fulani","Nigeria","1999-02-28","1999-03-29",1,100,3
"427","Afisare, Anaguta, Birom","Nigeria","2001-09-08","2001-09-13",1,1000,3
"428","Afisare, Anaguta, Birom","Nigeria","2001-09-08","2008-11-29",1,200,3
"429","Hausa","Nigeria","1999-05-21","1999-05-21",1,100,3
"430","Ife","Nigeria","1997-08-19","",0,144,3
"431","Ife","Nigeria","1997-08-19","1998-08-18",1,34,3
"432","Ife","Nigeria","1997-08-19","2000-05-04",1,61,3
"433","Ijaw","Nigeria","1998-09-24","",0,50,3
"434","Ijaw","Nigeria","1998-09-24","1999-09-26",1,70,3
"435","Ijaw","Nigeria","1997-03-30","1998-03-20",1,30,3
"436","Jukun","Nigeria","1990-10-10","",0,30,3
"437","Jukun","Nigeria","1990-10-10","1992-02-20",1,100,3
"438","Jukun","Nigeria","1990-10-10","2001-12-06",1,545,3
"439","Fulani","Nigeria","1996-04-14","1996-04-14",1,80,3
"440","Kwala","Nigeria","2001-04-05","2001-04-05",1,50,3
"441","Ndoki","Nigeria","1994-04-30","1994-04-30",1,30,3
"442","Eleme","Nigeria","1999-10-04","1999-10-04",1,25,3
"443","Ogoni","Nigeria","1992-12-01","",0,60,3
"444","Ogoni","Nigeria","1992-12-01","1993-12-13",1,90,3
"445","Igbo","Nigeria","1998-12-18","1998-12-18",1,32,3
"446","Aguleri","Nigeria","1999-04-23","1999-07-31",1,420,3
"447","Ijaw, Urhobo","Nigeria","1999-06-04","1999-06-09",1,39,3
"448","MQM","Pakistan","1991-06-19","",0,87,1
"449","MQM","Pakistan","1991-06-19","1995-06-26",1,42,1
"450","MQM","Pakistan","1991-06-19","",0,73,1
"451","MQM","Pakistan","1991-06-19","1998-10-31",1,38,1
"452","Wagia subclan of Takima","Papua New Guinea","2001-05-31","2001-05-31",1,25,3
"453","Unjamap","Papua New Guinea","2000-01-14","2001-12-28",1,36,3
"454","Hadji Faizal Abdulkarim clan","Philippines","1998-07-13","1998-07-13",1,30,3
"455","Armenian","Russia","1989-12-31","",0,42,3
"456","Armenian","Russia","1989-12-31","1990-12-02",1,27,3
"457","Chechen Republic of Ichkeria","Russia","1994-06-13","1994-06-13",1,180,1
"458","Chechen Republic of Ichkeria","Russia","1994-09-01","1994-10-19",1,64,1
"459","Republic of Georgia","Russia","1991-01-20","1991-12-01",1,87,1
"460","Abdalle subclan of Habar Awal clan","Somalia","1996-07-11","1996-07-31",1,34,3
"461","Abdalleh-Agon-Yar subclan of Abgal clan","Somalia","2000-01-10","2000-02-26",1,26,3
"462","Abdulleh-Galmaha subclan of Abgal clan","Somalia","2001-05-22","2001-07-09",1,33,3
"463","Abgal clan","Somalia","1990-12-04","1990-12-12",1,50,3
"464","SPM","Somalia","2000-02-02","2000-02-11",1,41,1
"465","Ayr subclan of Habar Gidir clan","Somalia","1997-08-29","2001-07-16",1,50,3
"466","Abdalle-Aroneh subclan of Abgal clan","Somalia","1999-01-27","1999-01-27",1,31,3
"467","Forces of Abdirizak Bihi","Somalia","2001-03-30","2001-03-30",1,33,1
"468","Forces of Hussein Ali Ahmed","Somalia","1999-03-13","1999-09-20",1,113,1
"469","Forces of Abdurahman Ahmed Ali 'Tur'","Somalia","1994-10-15","",0,320,1
"470","Forces of Abdurahman Ahmed Ali 'Tur'","Somalia, Djibouti","1994-10-15","1995-10-28",1,145,1
"471","Garre subclan of Digil clan","Somalia","2000-05-20","2000-10-22",1,42,3
"472","Garre subclan of Digil clan","Somalia","2000-05-20","2002-01-26",1,28,3
"473","Habar Gidir clan","Somalia","1993-09-10","1994-05-02",1,38,3
"474","Habar Gidir clan","Somalia","1993-01-13","1993-01-13",1,30,3
"475","Habar Gidir clan","Somalia","1993-01-13","1995-07-08",1,31,3
"476","Galje'el clan","Somalia","2000-08-08","2000-09-24",1,62,3
"477","Republic of Somaliland","Somalia","1992-01-20","1992-08-31",1,2500,1
"478","SNF","Somalia","1992-04-28","",0,60,1
"479","SNF","Somalia","1992-04-28","1993-02-01",1,39,1
"480","SNF - MSAB","Somalia","1999-04-07","1999-09-17",1,51,1
"481","SPM","Somalia","1992-05-10","",0,300,1
"482","SPM","Somalia","1992-05-10","",0,184,1
"483","SPM","Somalia","1992-05-10","1994-02-24",1,30,1
"484","AIAI","Somalia","1992-06-19","1992-06-30",1,625,1
"485","DSA","Somalia","1999-07-25","1999-10-04",1,35,1
"486","RRA","Somalia","1995-10-11","",0,103,1
"487","RRA","Somalia","1995-10-11","",0,104,1
"488","RRA","Somalia","1995-10-11","",0,41,1
"489","RRA","Somalia","1995-10-11","",0,72,1
"490","RRA","Somalia","1995-10-11","1999-10-16",1,107,1
"491","SSDF","Somalia","1993-01-08","1993-01-08",1,200,1
"492","USC/SNA","Somalia","1995-02-26","",0,31,1
"493","USC/SNA","Somalia","1995-02-26","",0,361,1
"494","USC/SNA","Somalia","1995-02-26","1997-05-06",1,39,1
"495","USC/SNA","Somalia","1995-04-10","1995-04-10",1,46,1
"496","ANC - 'Greens'","South Africa","1993-01-23","1993-11-17",1,30,1
"497","Supporters of ANC","South Africa","1990-03-26","1990-12-08",1,32,2
"498","CATA","South Africa","1994-10-16","1996-11-30",1,71,1
"499","Supporters of ANC","South Africa","1989-01-06","",0,65,2
"500","Supporters of ANC","South Africa","1989-01-06","",0,899,2
"501","Supporters of ANC","South Africa","1989-01-06","",0,615,2
"502","Supporters of ANC","South Africa","1989-01-06","",0,650,2
"503","Supporters of ANC","South Africa","1989-01-06","",0,612,2
"504","Supporters of ANC","South Africa","1989-01-06","",0,421,2
"505","Supporters of ANC","South Africa","1989-01-06","",0,143,2
"506","Supporters of ANC","South Africa","1989-01-06","1996-12-28",1,55,2
"507","Supporters of IFP","South Africa","1989-01-04","",0,161,2
"508","Supporters of IFP","South Africa","1989-01-04","1990-12-31",1,312,2
"509","Mangweni clan","South Africa","1993-10-09","1993-10-20",1,26,3
"510","Supporters of ANC","South Africa","1997-05-08","1998-08-30",1,29,2
"511","NUM","South Africa","1989-04-15","1996-09-23",1,30,1
"512","Lagunya","South Africa","1991-03-15","1991-11-12",1,31,3
"513","EPRLF","Sri Lanka","1989-09-28","1989-12-27",1,225,1
"514","LTTE","Sri Lanka","1989-05-21","",0,51,1
"515","LTTE","Sri Lanka","1989-05-21","1990-01-04",1,50,1
"516","Awlad Omran clan","Sudan","1993-07-30","1993-07-30",1,108,3
"517","Awlad Omran clan","Sudan","1993-07-30","2014-11-27",1,324,3
"518","Awlad Zeid","Sudan","2001-05-31","2001-05-31",1,70,3
"519","Dinka","Sudan","1996-06-04","1997-11-27",1,35,3
"520","Dinka","Sudan","1996-06-04","",0,228,3
"521","Dinka","Sudan, South Sudan","1996-06-04","2011-10-21",1,133,3
"522","Dinka","South Sudan","1996-06-04","2013-12-19",1,44,3
"523","Dinka","South Sudan","1996-06-04","2015-04-05",1,100,3
"524","Jikany Nuer","Sudan","1993-12-31","1993-12-31",1,1001,3
"525","Jikany Nuer","Sudan","1993-12-31","2009-05-08",1,71,3
"526","Masalit","Sudan","1998-03-06","",0,100,3
"527","Masalit","Sudan, Chad","1998-03-06","1999-08-31",1,300,3
"528","Rizeigat Abbala","Sudan","1996-09-27","1996-11-08",1,166,3
"529","Rizeigat Abbala","Sudan","1996-09-27","2017-10-17",1,31,3
"530","Beni Halba Baggara, Salamat Baggara","Sudan","1989-04-30","1989-06-22",1,2000,3
"531","SPLM/A","Sudan","1993-08-03","1993-09-13",1,55,1
"532","SPLM/A","Sudan","1992-12-03","",0,40,1
"533","SPLM/A","Sudan","1992-12-03","1993-01-04",1,114,1
"534","SPLM/A","Sudan","1991-10-08","",0,1002,1
"535","SPLM/A","Sudan","1991-10-08","",0,1001,1
"536","SPLM/A","Sudan","1991-10-08","",0,2732,1
"537","SPLM/A","Sudan","1991-10-08","1994-10-22",1,150,1
"538","SPLM/A","Sudan","1991-10-08","1997-12-31",1,200,1
"539","SPLM/A","Sudan","1991-10-08","2002-06-19",1,82,1
"540","SPLM/A","Sudan","2000-07-30","2000-09-01",1,390,1
"541","SPLM/A","Sudan","1997-03-02","1997-12-10",1,210,1
"542","SPLM/A","Sudan","1995-06-02","",0,64,1
"543","SPLM/A","Sudan","1995-06-02","",0,49,1
"544","SPLM/A","Sudan","1995-06-02","1997-03-02",1,100,1
"545","SSDF","Sudan","1998-01-17","",0,249,1
"546","SSDF","Sudan","1998-01-17","1999-10-28",1,241,1
"547","Moba","Togo","1991-10-29","1991-10-29",1,31,3
"548","Bokora Karimojong","Uganda","2000-07-01","2000-07-01",1,48,3
"549","Bokora Karimojong","Uganda","1992-01-31","1999-09-10",1,352,3
"550","Bokora Karimojong","Uganda","2000-07-02","2000-07-02",1,60,3
"551","Dodoth","Uganda","2000-03-19","2000-07-23",1,135,3
"552","Dodoth","Uganda","2000-03-19","2005-09-28",1,30,3
"553","Dodoth","Uganda","2000-03-19","2009-11-03",1,38,3
"554","Dodoth","Uganda","2000-02-01","2000-02-01",1,43,3
"555","Iteso","Uganda","2001-09-13","2001-09-13",1,32,3
"556","Karimojong","Uganda","1989-03-02","1998-07-01",1,134,3
"557","Karimojong","Uganda","1989-03-02","2000-04-28",1,60,3
"558","Karimojong","Uganda","1989-03-02","2003-01-06",1,53,3
"559","Matheniko Karimojong","Uganda","1999-02-06","1999-02-06",1,36,3
"560","Republic of Bosnia-Herzegovina","Serbia","1992-04-05","1992-04-23",1,144,1
"561","Republic of Croatia","Serbia","1991-06-26","1991-09-09",1,83,1
"562","Republic of Croatia","Serbia","1991-06-26","1991-09-16",1,189,1
"563","Republic of Croatia","Serbia","1992-01-19","1992-04-21",1,35,1
"564","Forces of Jing Caludtiag","Philippines","2009-05-28","2009-07-27",1,44,1
"565","Afor","Nigeria","2009-12-06","2009-12-19",1,33,3
"566","Supporters of Andry Rajoelina","Madagascar","2009-01-26","2009-03-11",1,82,2
"567","Al-Shabaab","Somalia","2009-10-01","",0,121,1
"568","Al-Shabaab","Somalia","2009-10-01","2010-12-18",1,88,1
"569","Ngok Dinka","Sudan","2000-02-11","2009-11-11",1,121,3
"570","Bari","Sudan","2009-05-06","2009-05-24",1,41,3
"571","Bor Dinka","Sudan","2007-12-19","2009-10-07",1,37,3
"572","Bor Dinka","South Sudan","2007-12-19","2017-05-13",1,40,3
"573","Aliap Dinka","Sudan","2009-11-15","2009-11-17",1,52,3
"574","Luac Jang Dinka","Sudan","2009-08-11","2009-08-11",1,30,3
"575","Fulani","Nigeria","2004-03-08","2004-04-27",1,120,3
"576","Fulani","Nigeria","2004-03-08","2013-11-10",1,118,3
"577","Pari","Sudan","1990-12-31","1990-12-31",1,35,3
"578","Al-Shabaab","Ethiopia","2007-12-31","2007-12-31",1,40,1
"579","Arab","Mali","1999-07-14","1999-10-16",1,59,3
"580","Atyap","Nigeria","1992-02-06","1992-05-16",1,582,3
"581","Hausa","Nigeria","2001-10-13","2001-10-13",1,200,3
"582","Jie","Uganda","2005-03-31","2005-03-31",1,26,3
"583","Supporters of Laurent Gbagbo","Ivory Coast","2000-10-26","2000-10-26",1,25,2
"584","Supporters of Didier Ratsiraka","Madagascar","2002-02-26","2002-07-04",1,79,2
"585","Mauritanian","Senegal, Mauritania","1989-04-20","1989-04-30",1,221,3
"586","Christians","Nigeria","1991-04-22","",0,350,3
"587","Christians","Nigeria","1991-04-22","1992-03-13",1,200,3
"588","Christians","Nigeria","1991-04-22","2000-09-08",1,1853,3
"589","Christians","Nigeria","1991-04-22","2002-11-23",1,201,3
"590","Christians","Nigeria","1991-04-22","2004-11-12",1,1281,3
"591","Christians","Nigeria","1991-04-22","2006-02-24",1,141,3
"592","Christians","Nigeria","1991-04-22","",0,104,3
"593","Christians","Nigeria","1991-04-22","",0,880,3
"594","Christians","Nigeria","1991-04-22","2012-11-22",1,126,3
"595","Christians","Nigeria","1991-04-22","",0,336,3
"596","Christians","Nigeria","1991-04-22","",0,25,3
"597","Christians","Nigeria","1991-04-22","2016-12-25",1,120,3
"598","Bini","Nigeria","1998-08-19","1998-08-19",1,50,3
"599","Supporters of PDP","Nigeria","2003-04-11","2003-04-11",1,31,2
"600","Supporters of Jean-Bertrand Aristide","Haiti","1991-01-07","1991-01-07",1,40,2
"601","Meskhetian Turk","Russia","1989-06-06","1989-06-06",1,97,3
"602","Kyrgyz","Russia","1990-06-04","1990-06-10",1,171,3
"603","Kyrgyz","Kyrgyzstan","1990-06-04","2010-06-15",1,41,3
"604","Taleban - Ali Dad faction","Afghanistan","1996-03-26","1996-03-26",1,30,1
"605","Hindus","India","1989-03-31","",0,441,3
"606","Hindus","India","1989-03-31","",0,1878,3
"607","Hindus","India","1989-03-31","",0,96,3
"608","Hindus","India","1989-03-31","1992-12-31",1,462,3
"609","Hindus","India","1989-03-31","2002-12-24",1,60,3
"610","Hindus","India","1989-03-31","2013-11-03",1,68,3
"611","Christians","Indonesia","1999-01-20","",0,504,3
"612","Christians","Indonesia","1999-01-20","2000-11-26",1,493,3
"613","Christians","Indonesia","1999-01-20","2002-09-21",1,26,3
"614","Christians","Indonesia","1999-01-20","2004-11-13",1,49,3
"615","Akibu","Papua New Guinea","1999-03-02","1999-03-12",1,60,3
"616","Christians","Philippines","1993-02-05","1993-12-26",1,43,3
"617","Supporters of PA","Sri Lanka","1994-07-28","1994-11-05",1,29,2
"618","Santiago Xochiltepec","Mexico","2002-05-31","2002-05-31",1,26,3
"619","Kuki","India","1997-07-08","1997-12-21",1,136,3
"620","PKK","Iraq","1992-10-04","1992-10-08",1,50,1
"621","PKK","Iraq","1992-10-04","2000-12-04",1,92,1
"622","Forces of Michel Aoun","Lebanon","1989-03-11","1989-05-02",1,31,1
"623","Lashkar of Orakzai tribe","Pakistan","2009-08-18","2009-12-22",1,27,1
"624","Forces of Turkestan Bhittani","Pakistan","2008-06-24","2009-10-06",1,101,1
"625","CNDD","Burundi, Tanzania","1996-12-31","1997-07-06",1,224,1
"626","Dodoth","Uganda","2000-06-11","2000-06-11",1,70,3
"627","Anuak","Ethiopia","2004-01-30","2004-11-30",1,114,3
"628","FNI","DR Congo","2003-03-04","2003-05-31",1,67,1
"629","FNI","DR Congo","2003-05-06","2003-08-23",1,429,1
"630","FNI, FRPI","DR Congo","2003-03-06","2003-03-06",1,71,1
"631","RCD-K-ML","DR Congo","2002-08-14","2002-12-03",1,216,1
"632","Suri","Ethiopia","2001-12-31","2001-12-31",1,34,3
"633","Geri","Ethiopia","2001-06-30","2001-06-30",1,32,3
"634","Borana","Kenya","1992-04-30","",0,68,3
"635","Borana","Kenya","1992-04-30","",0,74,3
"636","Borana","Kenya, Ethiopia","1992-04-30","2007-02-11",1,27,3
"637","Borana","Kenya","1992-04-30","2012-01-28",1,27,3
"638","Pokot","Kenya","2006-04-30","2006-09-20",1,25,3
"639","Pokot","Kenya","2006-04-30","2009-12-31",1,51,3
"640","Samburu","Kenya","1992-12-31","1996-12-31",1,54,3
"641","Samburu","Kenya","1992-12-31","2015-11-02",1,50,3
"642","Ari","Ethiopia","1991-05-31","1991-05-31",1,51,3
"643","Ari","Ethiopia","1991-05-31","1999-01-03",1,31,3
"644","Dassanetch","Kenya","1989-03-31","1989-03-31",1,60,3
"645","Dayak, Malay","Indonesia","1999-02-25","1999-03-25",1,172,3
"646","Samburu","Kenya","1996-09-26","1996-09-26",1,40,3
"647","Bokora Karimojong","Uganda","2000-07-11","2000-07-11",1,213,3
"648","Forces of General Morgan","Somalia","1997-03-11","",0,188,1
"649","Forces of General Morgan","Somalia","1997-03-11","1998-12-13",1,240,1
"650","Gulf Cartel","Mexico","2010-01-31","",0,412,1
"651","Gulf Cartel","Mexico","2010-01-31","",0,380,1
"652","Gulf Cartel","Mexico","2010-01-31","",0,555,1
"653","Gulf Cartel","Mexico","2010-01-31","",0,339,1
"654","Gulf Cartel","Mexico","2010-01-31","",0,436,1
"655","Gulf Cartel","Mexico","2010-01-31","",0,221,1
"656","Gulf Cartel","Mexico","2010-01-31","",0,246,1
"657","Gulf Cartel","Mexico","2010-01-31","2017-10-15",1,52,1
"658","Beltrán Leyva Cartel","Mexico","2010-01-09","2010-12-12",1,182,1
"659","Ansarallah","Yemen","2010-11-24","2010-11-26",1,26,1
"660","Ansarallah","Yemen","2010-11-24","2014-12-31",1,460,1
"661","Los Zetas","Mexico","2010-03-28","",0,29,1
"662","Los Zetas","Mexico","2010-03-28","",0,85,1
"663","Los Zetas","Mexico","2010-03-28","",0,335,1
"664","Los Zetas","Mexico","2010-03-28","",0,54,1
"665","Los Zetas","Mexico","2010-03-28","2014-12-31",1,60,1
"666","Lashkar-e-Islam","Pakistan","2010-02-18","2010-12-26",1,63,1
"667","Forces of Momin Afridi","Pakistan","2010-08-31","2010-11-05",1,74,1
"668","TTP - MR","Pakistan","2010-02-17","2010-04-01",1,80,1
"669","Bangesh","Pakistan","2008-06-18","2010-10-04",1,165,3
"670","Mara 18","Honduras","1999-11-12","2010-10-30",1,49,1
"671","Suleiman subclan of Habar Gidir clan","Somalia","2010-02-05","2010-08-30",1,88,3
"672","Gok Dinka","Sudan","2010-02-20","2010-02-20",1,28,3
"673","Gok Dinka","South Sudan","2010-02-20","2012-12-05",1,81,3
"674","Mujahideen in the Golis Mountains","Somalia","2010-07-26","",0,109,1
"675","Mujahideen in the Golis Mountains","Somalia","2010-07-26","",0,33,1
"676","Mujahideen in the Golis Mountains","Somalia","2010-07-26","2012-05-11",1,55,1
"677","Boje","Nigeria","2010-10-30","2010-10-30",1,30,3
"678","Atuot Dinka","Sudan","2010-04-25","2010-04-25",1,27,3
"679","Ahlu Sunna Waljamaca","Somalia","2009-12-27","2010-11-29",1,45,1
"680","Birom","Nigeria","2002-05-30","2002-12-29",1,48,3
"681","Birom","Nigeria","2002-05-30","",0,329,3
"682","Birom","Nigeria","2002-05-30","",0,112,3
"683","Birom","Nigeria","2002-05-30","",0,87,3
"684","Birom","Nigeria","2002-05-30","",0,58,3
"685","Birom","Nigeria","2002-05-30","",0,34,3
"686","Birom","Nigeria","2002-05-30","2015-09-14",1,117,3
"687","Dassanetch","Kenya","1997-03-31","1997-03-31",1,100,3
"688","Burkinabé","Ivory Coast","2001-05-07","",0,27,3
"689","Burkinabé","Ivory Coast","2001-05-07","",0,155,3
"690","Burkinabé","Ivory Coast","2001-05-07","2004-02-18",1,38,3
"691","Dioula","Ivory Coast","2005-01-05","2005-06-06",1,35,3
"692","Guéré","Ivory Coast","2005-05-26","2005-06-05",1,65,3
"693","Degodia","Ethiopia","2000-12-31","2000-12-31",1,37,3
"694","Degodia","Kenya","2000-12-31","",0,30,3
"695","Degodia","Kenya","2000-12-31","",0,57,3
"696","Degodia","Kenya","2000-12-31","2014-10-04",1,77,3
"697","Dodoth","Uganda","2000-07-22","2000-07-22",1,33,3
"698","Oleh","Nigeria","1999-11-16","1999-11-16",1,47,3
"699","Abgal clan","Somalia","2001-12-01","2001-12-02",1,25,3
"700","Forces of Abdullahi Yusuf","Somalia","2001-08-06","2001-08-06",1,42,1
"701","Copts","Egypt","1995-08-13","2011-08-08",1,31,3
"702","Al-Shabaab","Somalia","2011-01-26","2011-11-04",1,36,1
"703","Guéré","Ivory Coast","2011-01-07","2011-01-07",1,33,3
"704","FDC","DR Congo","2011-11-26","",0,26,1
"705","FDC","DR Congo","2011-11-26","2012-01-20",1,35,1
"706","BIFM","Philippines","2011-08-09","2011-11-20",1,31,1
"707","Opponents of al-Assad","Syria","2011-07-17","2011-07-17",1,30,2
"708","Kpelle","Guinea","2011-05-04","2011-05-04",1,25,3
"709","Lashkar-e-Islam","Pakistan","2011-03-21","",0,128,1
"710","Lashkar-e-Islam","Pakistan","2011-03-21","2012-12-05",1,93,1
"711","Lashkar-e-Islam","Pakistan","2011-01-20","",0,41,1
"712","Lashkar-e-Islam","Pakistan","2011-01-20","2012-03-05",1,30,1
"713","CPJP","Central African Republic","2011-09-12","2011-09-29",1,53,1
"714","Borana","Kenya","2011-10-14","2011-12-31",1,29,3
"715","Hausa","Nigeria","2011-01-26","2011-05-06",1,40,3
"716","Ezilo","Nigeria","2008-05-30","2011-12-31",1,50,3
"717","Fulani","Nigeria","2005-04-10","",0,181,3
"718","Fulani","Nigeria","2005-04-10","",0,112,3
"719","Fulani","Nigeria","2005-04-10","",0,198,3
"720","Fulani","Nigeria","2005-04-10","",0,101,3
"721","Fulani","Nigeria","2005-04-10","",0,67,3
"722","Fulani","Nigeria","2005-04-10","",0,224,3
"723","Fulani","Nigeria","2005-04-10","",0,68,3
"724","Misseriya","Sudan","2011-01-09","2011-04-30",1,212,3
"725","Misseriya","Sudan","2011-01-09","",0,55,3
"726","Misseriya","Sudan","2011-01-09","2015-06-10",1,47,3
"727","Gony Dinka","Sudan, South Sudan","2011-04-24","2011-10-14",1,95,3
"728","Atuot Dinka","Sudan","2011-02-10","2011-04-05",1,43,3
"729","Laskhar of Masozai Qaumi tribe","Pakistan","2011-01-06","2011-07-28",1,79,1
"730","La Familia","Mexico","2011-01-16","",0,100,1
"731","La Familia","Mexico","2011-01-16","2012-09-16",1,52,1
"732","Jalisco Cartel New Generation","Mexico","2011-09-20","",0,101,1
"733","Jalisco Cartel New Generation","Mexico","2011-09-20","2012-06-12",1,30,1
"734","Jalisco Cartel New Generation","Mexico","2011-09-20","",0,558,1
"735","Jalisco Cartel New Generation","Mexico","2011-09-20","",0,98,1
"736","Jalisco Cartel New Generation","Mexico","2011-09-20","",0,200,1
"737","Jalisco Cartel New Generation","Mexico","2011-09-20","2017-12-26",1,147,1
"738","Cartel Independiente de Acapulco","Mexico","2011-01-08","2011-10-15",1,111,1
"739","Cartel Independiente de Acapulco","Mexico","2011-01-08","2015-12-12",1,754,1
"740","Cartel Independiente de Acapulco","Mexico","2011-01-08","2017-07-06",1,28,1
"741","Jalisco Cartel New Generation","Mexico","2011-02-12","2011-08-04",1,33,1
"742","Lashkar of Kukikhel clan","Pakistan","2011-08-16","2011-08-19",1,69,1
"743","RUF","Liberia","1991-10-30","1993-12-31",1,99,1
"744","Kamajors","Sierra Leone","1993-12-25","1995-12-31",1,40,1
"745","Deebam","Nigeria","2005-01-30","2006-12-31",1,34,1
"746","Deebam","Nigeria","2005-01-30","2015-07-30",1,29,1
"747","Black Axe, Bush Boys, Deebam, KK, NDV","Nigeria","2007-07-01","2007-08-31",1,100,1
"748","Alago","Nigeria","2012-06-01","",0,60,3
"749","Alago","Nigeria","2012-06-01","2013-10-01",1,35,3
"750","Greenlanders","Nigeria","2003-12-31","2012-09-05",1,48,1
"751","Greenlanders","Nigeria","2003-12-31","2016-09-26",1,36,1
"752","Lashkar-e-Islam","Pakistan","2012-06-04","2012-10-24",1,33,1
"753","Dimasa","India","2009-03-20","2009-08-17",1,70,3
"754","Supporters of al-Ahly football team","Egypt","2012-02-01","2012-02-01",1,74,2
"755","PFT","Tajikistan","1992-06-20","1992-09-06",1,387,1
"756","Gontrar, Zintan","Libya","2012-06-12","2012-06-17",1,78,3
"757","Isenasawo","Nigeria","2000-05-05","2002-07-20",1,39,3
"758","Forces of Agala","Nigeria","2005-12-31","2005-12-31",1,62,1
"759","Alawite","Lebanon","2012-02-10","",0,52,3
"760","Alawite","Lebanon","2012-02-10","",0,67,3
"761","Alawite","Lebanon","2012-02-10","2014-03-26",1,36,3
"762","ALiR, Mayi Mayi","DR Congo","1998-09-14","1998-09-23",1,47,1
"763","ALiR, CNDD-FDD , Mayi Mayi","DR Congo","1999-01-31","",0,91,1
"764","ALiR, CNDD-FDD , Mayi Mayi","DR Congo","1999-01-31","2000-04-07",1,30,1
"765","Bafulero, Bavira","DR Congo","1998-08-23","1998-08-23",1,250,3
"766","Orma","Kenya","2012-03-11","2012-12-21",1,160,3
"767","Dogon","Mali","2012-05-25","2012-05-25",1,30,3
"768","Dogon","Mali","2012-05-25","",0,31,3
"769","AQIM, Jama'atu Ahlis Sunna Lidda'awati wal-Jihad, MUJAO","Mali","2012-06-27","2012-06-27",1,26,1
"770","CMA","Mali","2012-11-15","2012-11-19",1,25,1
"771","APCLS","DR Congo","2012-10-25","2012-10-25",1,30,1
"772","Bul Nuer","South Sudan","2012-01-28","2012-03-25",1,87,3
"773","Balanda","South Sudan","2012-12-16","2012-12-19",1,28,3
"774","FDLR","DR Congo","2011-08-16","2012-08-31",1,179,1
"775","Konianke","Guinea","2013-07-15","2013-07-17",1,98,3
"776","Northern Sudanese","Sudan","2005-08-03","2005-08-03",1,130,3
"777","Habaniya","Sudan","2007-01-08","2017-05-10",1,41,3
"778","Hizb-i Wahdat","Afghanistan","1995-02-20","1998-03-19",1,101,1
"779","Forces of Sayed Mansur Naderi","Afghanistan","1995-09-30","1995-10-29",1,40,1
"780","NSCN-K","India","2011-12-22","2012-12-17",1,54,1
"781","Han Chinese","China","2009-06-26","2009-07-07",1,187,3
"782","Buddhists","Myanmar","2001-02-16","2001-05-23",1,37,3
"783","Buddhists","Myanmar","2001-02-16","",0,114,3
"784","Buddhists","Myanmar","2001-02-16","2013-09-30",1,50,3
"785","Supporters of Awami League","Bangladesh","1990-06-24","2013-12-17",1,31,2
"786","Mohajir","Pakistan","1989-03-14","1989-08-20",1,47,3
"787","Mohajir","Pakistan","1989-01-25","",0,67,3
"788","Mohajir","Pakistan","1989-01-25","1990-07-15",1,252,3
"789","Jatoi","Pakistan","1990-06-27","1990-06-27",1,28,3
"790","Assamese","India","1989-08-12","1989-08-12",1,120,3
"791","Supporters of MQM","Pakistan","1990-02-14","1990-04-14",1,26,2
"792","Khadadkhel","Pakistan","1992-09-18","1992-09-18",1,50,3
"793","Supporters of Yousaf Ali Khan Magsi","Pakistan","1992-09-26","1993-10-21",1,33,2
"794","Lashkar of Mohmand tribe","Pakistan","2009-07-04","2009-11-15",1,53,1
"795","Lashkar-e-Islam","Pakistan","2012-03-02","2012-11-20",1,39,1
"796","Bangladeshi Immigrants","India","2012-07-20","2012-11-12",1,73,3
"797","Black Axe","Nigeria","2002-02-15","2011-10-27",1,31,1
